Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Rank,URL
T.Walker,DT,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
M.Bennett,DE,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,50,
W.Horton,DE,CAR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
J.Peppers,OLB,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,50,
J.Pierre-Paul,DE,NYG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
A.Okafor,OLB,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
V.Miller,OLB,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
C.McCain,DE,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
J.Burgess,DEF,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
T.Hendrickson,DEF,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
N.Spence,DE,TB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
P.McPhee,OLB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
C.Liuget,DE,LAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,50,
C.Lawson,DEF,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,50,
T.Cohen,RB,CHI,0,157,126,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,watch?v=_GNNivmcuYg
A.Green,WR,CIN,0,0,252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,watch?v=Sk9aaExFWPI
S.Watkins,WR,LA,0,0,194,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
J.Nelson,WR,GB,0,0,131,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
E.Elliott,RB,DAL,0,192,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
A.Dalton,QB,CIN,606,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,
L.Fitzgerald,WR,ARI,0,0,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
L.Bell,RB,PIT,0,180,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,
T.Hilton,WR,IND,0,0,259,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,
J.Kearse,WR,NYJ,0,0,165,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,
J.Nelson,WR,ARI,0,0,163,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,
Z.Ertz,TE,PHI,0,0,245,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,
M.Thomas,WR,NO,0,0,221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,
E.Sanders,WR,DEN,0,0,163,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,
L.McCoy,RB,BUF,0,140,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
F.Gore,RB,IND,0,145,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
